,Bot_Equity
2025-12-24 00:00:00+00:00,21158.317863781936
2025-12-25 00:00:00+00:00,21158.317863781936
2025-12-26 00:00:00+00:00,21158.317863781936
2025-12-29 00:00:00+00:00,21158.317863781936
2025-12-30 00:00:00+00:00,21158.317863781936
2025-12-31 00:00:00+00:00,20942.50302157136
2026-01-01 00:00:00+00:00,20942.50302157136
2026-01-02 00:00:00+00:00,20942.50302157136
2026-01-05 00:00:00+00:00,21780.03644011016
2026-01-06 00:00:00+00:00,21780.03644011016
2026-01-07 00:00:00+00:00,21780.03644011016
2026-01-08 00:00:00+00:00,21780.03644011016
2026-01-09 00:00:00+00:00,21557.880068421036
2026-01-12 00:00:00+00:00,21557.880068421036
2026-01-13 00:00:00+00:00,21557.880068421036
2026-01-14 00:00:00+00:00,21557.880068421036
2026-01-15 00:00:00+00:00,21557.880068421036
2026-01-16 00:00:00+00:00,21557.880068421036
2026-01-19 00:00:00+00:00,21557.880068421036
2026-01-20 00:00:00+00:00,21984.726093775775
2026-01-21 00:00:00+00:00,21984.726093775775
2026-01-22 00:00:00+00:00,22191.339428994124
2026-01-23 00:00:00+00:00,21740.944891596835
2026-01-26 00:00:00+00:00,21945.267161325857
2026-01-27 00:00:00+00:00,21945.267161325857
2026-01-28 00:00:00+00:00,21721.425436280333
